timestep,cloud_id,cloud_cpu_available,cloud_memory_available,cloud_queue_length,cloud_latency_current,is_in_maintenance,is_overloaded,had_cold_start
1,1,64504.96,122.4077,0,41.62,0,0,0
1,2,81179.04,615.8701,7,21.99,0,0,0
1,3,159035.89,1033.0857,0,63.1,0,0,0
1,4,274697.27,272.2163,2,16.42,0,0,0
1,5,198988.02,951.1521,5,28.79,0,0,0
1,6,192955.86,536.6345,5,33.54,0,0,0
1,7,110291.68,360.5378,4,41.94,0,0,0
1,8,201252.68,349.2218,5,44.39,0,0,0
1,9,102644.38,842.8452,7,67.48,0,0,0
1,10,228401.59,1232.8907,3,35.47,0,0,0
1,11,107261.13,988.6839,7,69.29,0,0,0
1,12,170404.81,1141.1039,6,46.66,0,0,0
1,13,52140.95,628.2288,6,65.36,0,0,0
1,14,150075.51,624.2561,2,49.69,0,0,0
1,15,87706.85,295.9172,4,21.79,0,0,0
1,16,65138.04,234.8124,3,63.77,0,0,0
1,17,154062.78,1228.5292,5,33.83,0,0,0
1,18,87623.97,567.5004,4,18.59,0,0,0
1,19,175236.96,655.1327,5,69.06,0,0,0
1,20,128240.34,372.6456,8,17.92,0,0,0
2,1,66047.99,245.2726,4,40.63,0,0,0
2,2,34073.01,415.32,79,20.68,0,0,0
2,3,249866.68,1097.6145,8,73.05,0,0,0
2,4,257839.77,410.7614,7,18.93,0,0,0
2,5,193585.28,851.8642,3,38.54,0,0,0
2,6,170089.26,750.0428,3,40.82,0,0,0
2,7,201654.09,283.0744,7,44.45,0,0,0
2,8,298717.44,381.4147,3,41.94,0,0,0
2,9,106770.13,504.2285,2,80.09,0,0,0
2,10,229518.05,1184.5009,5,39.01,0,0,0
2,11,137732.53,1256.7176,1,60.81,0,0,0
2,12,116920.39,634.9373,5,45.43,0,0,0
2,13,67904.57,1006.6035,1,62.17,0,0,0
2,14,119280.2,472.3664,12,45.46,0,0,0
2,15,82177.64,482.8014,5,28.72,0,0,0
2,16,98769.75,247.8759,5,65.03,0,0,0
2,17,122383.38,422.3152,3,33.74,0,0,0
2,18,117235.79,570.3979,6,25.2,0,0,0
2,19,99138.35,561.1508,4,57.4,0,0,0
2,20,80105.87,313.1831,6,23.83,0,0,0
3,1,87977.06,273.2268,7,25.39,0,0,0
3,2,179871.16,730.5242,6,23.81,0,0,0
3,3,139083.99,898.7589,4,69.07,0,0,0
3,4,217609.5,449.5135,3,17.92,0,0,0
3,5,134696.94,521.9448,5,38.45,0,0,0
3,6,191548.31,712.4391,5,29.01,0,0,0
3,7,90319.47,309.2324,6,46.57,0,0,0
3,8,205771.56,301.9644,7,38.86,0,0,0
3,9,83776.87,564.5765,5,68.73,0,0,0
3,10,187479.98,775.0737,5,44.95,0,0,0
3,11,218212.36,845.4734,6,66.91,0,0,0
3,12,110736.17,705.832,3,41.78,0,0,0
3,13,62664.42,1110.0297,7,70.78,0,0,0
3,14,139334.35,555.6294,5,44.97,0,0,0
3,15,155118.93,387.2267,3,25.71,0,0,0
3,16,107672.54,179.1055,10,71.39,0,0,0
3,17,199890.76,668.8811,3,26.0,0,0,0
3,18,120761.01,556.6257,5,27.71,0,0,0
3,19,78729.59,403.9465,5,68.97,0,0,0
3,20,99887.52,170.439,3,23.32,0,0,0
4,1,90819.09,320.4013,0,41.42,0,0,0
4,2,175275.49,629.4106,5,17.54,0,0,0
4,3,171424.51,539.0481,5,62.71,0,0,0
4,4,217736.7,500.2744,3,26.27,0,0,0
4,5,196676.49,812.2864,5,30.5,0,0,0
4,6,101029.23,522.5647,3,38.28,0,0,0
4,7,88269.63,335.4609,5,47.75,0,0,0
4,8,239704.75,388.2993,5,51.06,0,0,0
4,9,101296.6,683.1112,5,70.75,0,0,0
4,10,243499.11,1222.1735,7,44.86,0,0,0
4,11,184888.21,1116.6771,6,58.78,0,0,0
4,12,166032.68,758.0969,3,39.18,0,0,0
4,13,72287.88,1067.5293,4,74.5,0,0,0
4,14,216405.58,272.0805,4,38.41,0,0,0
4,15,91732.91,362.0785,2,22.35,0,0,0
4,16,106803.89,283.8715,1,71.1,0,0,0
4,17,196475.45,1146.6257,4,32.13,0,0,0
4,18,92656.8,351.1166,8,29.18,0,0,0
4,19,83714.07,337.354,7,65.19,0,0,0
4,20,118281.84,472.9685,4,22.27,0,0,0
5,1,112715.92,187.7935,6,28.65,0,0,0
5,2,99853.98,433.9523,3,27.13,0,0,0
5,3,173057.02,392.658,5,69.89,0,0,0
5,4,259460.48,415.4143,6,25.27,0,0,0
5,5,141676.39,334.1765,8,33.88,0,0,0
5,6,132185.88,376.7311,3,41.67,0,0,0
5,7,104947.21,295.0371,4,39.97,0,0,0
5,8,256936.66,839.9364,5,48.6,0,0,0
5,9,169492.85,489.4411,5,72.16,0,0,0
5,10,206177.86,901.3543,0,36.86,0,0,0
5,11,142780.23,422.2337,6,69.3,0,0,0
5,12,138396.26,491.6432,3,38.9,0,0,0
5,13,47278.09,1163.08,8,66.31,0,0,0
5,14,99939.15,748.847,5,40.43,0,0,0
5,15,102047.87,193.3621,3,30.34,0,0,0
5,16,56717.77,129.6894,1,69.9,0,0,0
5,17,162576.13,620.7888,6,31.6,0,0,0
5,18,115449.29,494.0412,3,32.65,0,0,0
5,19,117487.88,229.5379,5,63.24,0,0,0
5,20,108104.23,198.5662,6,19.06,0,0,0
6,1,64263.65,348.8139,2,36.85,0,0,0
6,2,139602.8,415.9523,6,20.97,0,0,0
6,3,196124.85,1203.8128,5,76.36,0,0,0
6,4,244351.58,266.6754,6,20.9,0,0,0
6,5,27525.3,527.9021,86,34.38,0,1,0
6,6,192657.56,552.212,7,33.24,0,0,0
6,7,229295.81,250.1671,5,40.59,0,0,0
6,8,167896.04,282.8899,8,53.15,0,0,0
6,9,174681.24,418.8539,5,69.36,0,0,0
6,10,183767.07,924.4826,2,47.65,0,0,0
6,11,101265.64,482.1636,3,61.66,0,0,0
6,12,63405.16,1130.9248,4,43.33,0,0,0
6,13,63194.65,1265.9676,8,72.53,0,0,0
6,14,144542.69,454.1003,4,46.68,0,0,0
6,15,133604.07,299.3843,7,18.13,0,0,0
6,16,62163.15,214.4596,6,60.84,0,0,0
6,17,171305.05,688.87,5,42.11,0,0,0
6,18,58569.21,518.3334,5,31.27,0,0,0
6,19,106824.43,581.8454,5,70.44,0,0,0
6,20,129659.69,482.7026,2,34.01,0,0,0
7,1,109507.85,165.6593,5,35.48,0,0,0
7,2,110903.22,625.1113,6,20.01,0,0,0
7,3,227403.96,1103.8825,1,65.7,0,0,0
7,4,173076.59,472.0013,6,17.67,0,0,0
7,5,215137.67,994.127,4,38.62,0,0,0
7,6,121701.08,469.6011,4,32.94,0,0,0
7,7,196408.0,117.409,7,48.63,0,0,0
7,8,112605.66,763.7419,3,36.44,0,0,0
7,9,104617.37,362.4125,3,71.15,0,0,0
7,10,225885.68,824.4459,11,42.39,0,0,0
7,11,119749.32,984.997,8,63.15,0,0,0
7,12,104345.9,651.7633,8,49.69,0,0,0
7,13,66892.45,919.709,5,76.57,0,0,0
7,14,188353.34,391.5982,8,54.51,0,0,0
7,15,66125.47,254.4477,7,20.87,0,0,0
7,16,63406.99,183.0077,8,65.77,0,0,0
